CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
		 Fixed telephone subscriptions (per 100 people)										10.88	8.59	46.74	0.62		44.52	24.56	21.04	37.95	43.29	39.38	14.76	38.11	19.75	0.91	48.63	38.91	43.95	10.6	1.28	89.07	3.97	8.02	26.71	7.36	21.5		20.82	29.18	1.01	0.35	0.31	1.3	54.69	14.83	67.6		0.41	20.97	25.35	17.56	4.44	0.23		31.72	1.95	43.07	9.63	38.37	23.8	4.87	0.06	54.13	1.84	24.69	10.11	13.14	15.7	17.51	1.52	0.75	38.09	1.09	15.3	31.02	56.11	2.24	3.1	14.01	60.33	0.62		47.4	27.5	10.62	0.26	0.31	17.9	1.12		11.28	60.03	30.8	64.48	3.23	12.97	34.13	3.68	51.08	45.36	36.81	11.64	38.04	8.78	22.21	1.67	4.22	19.24	9.51	2.08	27.73	17.92	2.09	0.05	15.66	55.08	24.97	53.48	34.66	0.83	0.79	16.53	14.95	0.62	57.3		2.23	29.72	17.82	8.33	98.08	7.62	28.13		9.66	0.34	0.99	6.89		3.07	44.34		40.91	4.49	0.44	0.86		39.76	11.61	2.64	36.51	9.29	14.75	1.02	5.94	10.74	4.51	24.76	39.36	19.56	50.88	30.65	21.63	31.7	0.16	39.91	23.7	20.87		69.72	4.54	15.55	1.94	38.43	24.83	0.57	38.69	23.8	48.13	1.59	1.09	9.7	45.48	16.85	0.88	16.1	3.91	57.8	63.08	17.86	3.94	11.17	21.78	0.25	2.35		24.8	23.91	11.92	24.87	9.71		10.22	0.53	28.36	23.48	55.75	0.29	53.08	28.64	6.84	4.61	22.82	16.9	4.43	0.73	2.72				40.26			25.46				69.48																			
		 Internet users (per 100 people)									1.84	23.86	10.18	70.04	4.6		38	28.11	6.21	52	71.67	72.87	17.08	31.54	51.95	2.5	61.4	23	66	26.3	1.85	82.3	6.55	12.5	34.66	6.25	33.83		46	39.67	0.92	0.81	0.51	3.4	76.7	14	61	1	1.19	37.3	22.6	25.6	3	4.29		32.29	1.9	44.24	12.94	42.31	62.97	0	0.44	85.02	2.26	41.16	20.82	18.8	18.01	10.08	1.82	0.47	70.58	0.45	13	83.67	70.68	6.21	6.88	10.01	78	4.27		38.2	23.18	8.3	0.92	2.35	18.2	7.6		9.6	66.7	61	91	4.38	7.92	12.02	1	65.34	59.39	44.53	23.6	75.4	23	11	8.67	7	42	15.7	3.55	63.41	22.53	3.58	0.53	9	70	55.22	82.23	49.24	1.65	0.7	55.8	23.2	1.57	50.08	4.6	1.87	21.81	21.71	14.49	67.25	9.8	32.9		33.1	1.56	0.22	5.33		1.73	87.42		72.03	5.3	0.7	15.86		90.57	20	7		24.36	33.82	1.15	14.27	30.57	6.22	53.13	44.13	44.3	81	23.39	32.42	26.83	4.5	49.2	32	21	5.03	54.52	15.48	36	7.12	35.6	40.44	0.25	69	66.05	58	3	1.14	8.43	59.6	5.8		21.06	6.85	90	79.2	14	8.78	18.2	46.04	0.16	2.4		8.11	34.8	27.53	34.37	1.75		15	7.9	11	63	78.39	1.9	74	39.3	9.08	7.27	25.88	23.92	6.89	5.55	11.4				62.82			38				27.36																			
		 Fixed broadband subscriptions (per 100 people)									0	2.03		25.85	0.09		5.84	7.85		18.15	24.56	20.73	0.68	7.32	8.39				27.69	2.74			0.3		4.88	0.46	5.22			11.24		0	0.12	0	29.49	1.52	33.13			8.48		3.92	0.02			2.43	0.05	12.11	0.02	13.67	16.9			36.49			2.45	1.07	1.02	2.01		0	22.53	0		30.42	28.5		0.02	2.54	27.24	0.1		13.6	8.62	0.69							27.78	17.62	34.27		0.42	0.41	0	20.48	23.7	18.83	3.58	23.66	2.47	2.17	0.01				0.05							18.77	29.39		0.02	0.01	4.87	4.89	0.04	23.34		0.17	4.29	6.55						1.59	0.04	0.02			0.05	35.17		21.39	0.76		0.04		33.01		0.1	0.55		5.52		0.21	2.53	1.16	11.69	15.47	7.81	32.33		11.46		0.01		8.99	8.58		16.04		3.98	0.39	5.7	3.8		22.09	11.17	20.92				20.19	0.5	0.11		0.07		33.4	0.05			8.62				0.7		2.19	8.18				0.02	3.44	8.2	28.22		25.15	7.3	0.24		3.97			0.05	0.14																														
	2007																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									17.72	73.35	78.53	78.12	28.01		133.16	102.72	62.76	112.22	100.06	119.26	51.53	109.34	108.1	23.47	93.24	72.61	100.56	41.34	23.56	106.96	22	33.63	63.34	60.14	63.67		95.99	130.86	13.05	3.24	18.79	23.75	61.47	31.47	197.19	8.28	8.59	83.72	41.02	76.27	9.82	34.26		33.79	41.61	115.23	1.75	92.97	127.96	0	11.53	115.37	8.71	125.72	57.34	69.66	40.54	100.24	23.45	1.62	128.08	1.5	63.45	114.88	88.98	80.77	52.33	58.74	115.14	33.76		111.1	49.6	89.33	19.91	19.96	69.93	26.28		58.3	155.04	109.63	106.93	20.16	40.43	41.46	48.79	115.85	128.45	150.96	99.12	84.35	84.37	80.04	30.06	0.8	55.83	42.23	24.59	102.3	30.44	24.67	15.98	77.83	90.67	153.98	143.71	161.05	11.45	7.66	87.07	101.72	19.89	88.03		42.46	76.12	58.63	26.11	58.26	46.03	145.68		65.31	13.89	0.49	38.46		12.6	117.29		100.44	44.72	6.34	27.45		106.71	97.29	38.34	53.14	27.42	86.24	4.69	76.64	54.42	64.52	108.38	127.68	109.7	93.27	51.27	92.66	119.18	6.4	127.78	86.39	101.33	47.19	57.61	18.42	109.59	30.5	104.48	86.7	14.33	125.19	112.25	95.46	2.21	6.73	85.28	108.41	39.32	20.36	74.45	33.48	110.46	108.52	31.87	29.99	80.17	85.59	7.55	20.4		45.48	115.25	76.34	89.18	7.86		18.44	13.65	118.41	133.36	121.1	20.07	82.06	89.99	21.34	11.82	86.13	52.02	20.53	21.79	9.62				116.87			65.03																							
		 Fixed telephone subscriptions (per 100 people)										9.48	8.74	45.7	0.53		44.91	24.15	20.89	38.14	45.94	40.99	14.29	38.84	19.72	0.81	48.6	38.31	45.39	11.85	1.27	89.29	4.39	7.01	27.51	7.15	20.74		20.86	30.42	0.82	0.34	0.27	0.99	55.42	14.84	68.1		0.3	20.75	27.4	17.81	4.11	0.36		32.19	1.38	42.26	9.34	38.5	23.24	4.89	0.01	51.67	1.77	24.65	9.43	12.78	15.13	17.64	1.56	0.72	37.73	1.09	14.59	32.88	55.94	1.83	3.18	12.56	63.53	1.67		49.42	27.54	10.61	0.22	0.31	16.67	1.14		11.44	60.7	32.31	61.21	3.39	8.46	33.19	4.75	52.64	44.37	37.68	13.65	40.26	9.88	21.02	1.23	4.28	21.07	9.39	1.58	29.72	16.85	2.43	0.06	16.76	55.45	25.06	52.11	36.09	0.69	1.28	16.22	10.73	0.63	55.04		1.21	29.57	17.61	8.28	99.11	7.07	28.53		7.81	0.35	0.91	6.64		2.7	45.03		41.27	4.45	0.29	1.07		42.11	11.48	2.93	37.15	9.36	14.19	0.94	6.44	10.04	4.43	27.47	39.82	20.6	48.36	29.4	20.06	31.48	0.23	40.51	23.33	21.03		69.39	4.68	15.42	2.26	37	25.49	0.56	39.34	24.23	49.78	1.58	1.12	9.84	45.21	13.51	0.85	16.06	3.95	60.05	65.13	17.65	4.12	10.63	22.11	0.24	1.7		20.56	23.46	12.39	26.19	9.43		13.31	0.54	27.66	23.9	54.88	0.4	52.15	28.91	6.83	4.01	18.78	12.9	4.82	0.76	2.71				40.76			27.09				68.52																			
		 Internet users (per 100 people)									1.9	15.04	9.45	70.87	3.2		34	25.95	6.02	30.9	69.45	69.37	14.54	27	32.91	1.8	58.2	19.7	64.44	24.6	1.79	74.35	5.92	10.5	27.92	5.28	30.88		44.68	33.64	0.75	0.7	0.49	2.93	73.2	8.28	52	0.38	0.85	35.9	16	21.8	2.5	2.76		28.4	1.8	41.44	11.69	40.77	51.93	0	0.37	85.03	1.62	40.27	17.66	10.8	16.03	6.11	1.56	0.41	66.19	0.37	10.9	80.78	66.09	5.77	6.21	8.26	75.16	3.85		35.88	22.29	7.3	0.78	2.21	13.8	7.2		9.4	64.8	53.3	90.6	3.95	5.79	9.47	0.93	61.16	48.13	40.79	21.1	74.3	20	4.02	7.95	6	34.8	14.03	1.64	59.17	18.74	3.45	0.55	4.72	65.08	49.9	78.92	47.33	0.65	0.97	55.7	16.3	0.81	46.9	3.95	1.43	20.22	20.81	13.62	64.38	9	30.8		21.5	0.91	0.22	4.84		1.41	85.82		69.76	3.9	0.39	6.77		86.93	16.68	6.8		21.18	22.29	1.79	11.21	25.2	5.97	48.6	42.09	37	78.8	20.45	28.3	24.66	2.12	43.5	27.9	16	4.75	50.36	14.59	30	6.89	33.15	38.38	0.24	69.9	61.8	56.74	2	1.12	8.07	55.11	3.88	8.66	14.11	4.1	82.01	77.2	11.5	7.2	20.03	36.3	0.14	2.2		7.18	32.3	17.1	28.63	1.41		10	3.67	6.55	61	75.09	1.6	75	34	7.49	6.8	20.83	20.76	5.01	4.87	10.85				61.07			27.86				27.34																			
		 Fixed broadband subscriptions (per 100 people)									0	0.32	0.82	22.79	0.07			6.61	0.13	15.8		19.52	0.17	5.99	6.61	0.03	17.06	1.77	25.56	2.61	0.01			0.35	2.19	0.18	4.01		3.05	8.32	0.05		0.06	0	27.51	0.79				7.73	4.98	2.71	0.01			2.13	0.06	8.86	0.02	9.18	14.48			34.82	0.14		1.81	0.7	0.64	1.47	0.03		20.18	0	1.38	30.55	25.32	0.14	0.02	1.06	23.63	0.07		9.19	7.34	0.43			0.31				27.38	14.46	32.8	0.27	0.34	0.28	0	17.68	22.06	17.02	3.43	22.24	1.57	1.76	0.05	0.54	1.37	0.06	0.02	15.62	4.64	0.01			40.22	17.52	27.02	22.4	0.01	0.01	3.86	3.38	0.03	20.06		0.12	2.88	3.97	0.11	35.13	0.28	2.89		1.56	0.03	0.01	0.01		0.04	33.49		20.15	0.49	0	0.04		30.87	0.79	0.03		1.49	4.3		0.14	2.01	0.56	10.93	14.47	7.61	30.92	1.44	8.87	3.41	0.03		6.51	7.31	0.07	5.26	0.19	2.4	0.32	4.03	3.92		19.57	10.11	17.06	0.2		0.76	18.04	0.31	0.11	0.82		30.36	31.47	0.04	0.05	1.96	4.79	0	0.02		0.76	2.71	0.93	6.84			2.77	0.01	1.71	6.55	40.65	0.01	23.6	4.94	0.07	0.06	3.1	1.5	0.05	0.03	0.12							4.87				5.54																			
	2006																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									9.83	60.07	60.85	84.28	17.84		132	80.82	41.95	108.13	94.7	112.12	38.36	75.38	95.42	13.21	86.25	61.95	93.01	42.3	12.5	93.41	12.33	30.22	48.72	43.41	53.11		80.44	108.27	7.35	2.49	12.7	16.85	57.49	22.59	185.02	2.73	4.5	75.44	34.77	67.89	5.98	25.16		32.87	23.02	100.38	1.35	82.78	120.74	0	7.94	107.12	5.69	101.15	48.59	60.51	24.66	63.18	19.31	1.23	125.76	1.11	34.38	107.63	83.53	63.56	27.28	38.32	102.28	23.73		99.34	44.73	55.24		10.83	52.26	12.78		31.84	136.66	98.9	100.41	14.52	28.02	21.68	33.3	110.98	124.34	136.12	84.36	78.52	80	51.06	19.97	0.76	48.79	24.83	17.12	99.38	27.12	18.45	8.27	69.07	82.09	145.68	152.94	132.63	5.56	4.66	73.93	89.51	12.27	83.24		32.74	63.49	49.41	17.61	53.27	30.28	104.35		52.66	10.84	0.42	29.66		4.51	105.62		90.85	33.13	3.53	22.55		104.28	71.16	21.45	41.7	22.58	63.42	1.6	53.75	32.54	49.07	96.21	116.04	95.06	85	36.55	72.47	104.84	3.25	102.36	62.99	80.47	25.13	57.72	11.6	77.64	25.75	81.46	79.74		103.78	90.66	90.57	1.46	6.33	81.08	103.76	26.88	11.9	63.34	22.36	105.69	99.39	24.86	30.92	60.9	60.36	4.82	12.45		29.57	116.52	72.23	76.74	4.52		16.44	6.76	104.7	113.2	115.6	14.04	76.29	69.97	9.61	6.99	69.1	22.03	14.41	14.12	6.67				94.69			58.64																							
		 Fixed telephone subscriptions (per 100 people)										8.05	8.23	44.59	0.57		44.93	24.26	20.11	38.33	47.64	43.55	13.58	39.2	20.42	0.78	48.84	35.01	44.65	12.3	0.92	89.61	4.74	7	25.52	6.96	20.62		21.4	31.48	0.69	0.35	0.19	0.7	55.92	14.85	75.96		0.19	20.5	27.73	17.93	3.09	0.38		30.27	1.53	41.82	8.51	38.95	28.1	4.17	0.02	56.95	1.43	24.76	9.46	12.66	14.81	17.01	1.61	0.75	34.26	0.93	13.89	36.26	55.18	2.58	3.12	12.44	64.96	1.62		55.83	26.83	10.43	0.23	0.47	15.42	1.6		10.16	55.51	33.35	62.71	3.57	6.51	31.88	4.45	51.5	44.46	45.52	12.71	44.07	11.31	19.23	0.8	4.35	21.39	9.03	1.56	29.92	16.7	2.74		15.99	56.4	24.46	53.28	36.82	0.69	0.98	16.49	10.63	0.67	50.02		1.08	29.37	17.71	8.44	99.94	7.62	27.27		4.17	0.33	1.13	6.63		2.39	45.49		42.09	4.49	0.22	1.18		44.02	10.56	3.26	36.61	8.85	14.24	0.98	5.5	9.13	4.16	30.05	40.26	23.6	47.43	27.4	19.03	30.55	0.24	41.45	23.47	20.79		69.7	4.78	15.57	2.44	33.34	23.44	0.55	40.17	21.63	51.22	1.58	1.15	9.99	45.11	9.36	1.27	16.13	3.96	61.03	67.12	17.25		10.73	23.44	0.25	1.44		18.15	24.97	12.48	27.44	8.83		11.3	0.36	26.45	26.86	55.84	0.38	55.65	29.63	6.99	3.49	15.51	9.99	4.69	0.79	2.64				63.21			27.68				67.47																			
		 Internet users (per 100 people)									2.11	9.61	7.38	48.94	1.91		30	20.93	5.63	28	66	63.6	11.99	26	28.24	1	55.3	16.2	59.72	24	1.54	69.9	4.52	6.2	25.12	4.29	28.18		42.19	27.09	0.63	0.66	0.47	2.03	72.4	6.81	44.5	0.31	0.58	34.5	10.52	15.34	2.2	2.01		25.1	1.52	37.98	11.16	35.83	47.93	0	0.3	86.65	1.27	39.4	14.84	7.2	13.66	5.5	1.28		63.51	0.31	9.6	79.66	46.87	5.49	5.24	7.53	72.16	2.72		32.25	21.4	6.5	0.64	2.06		6.8		7.8	60.8	47.06	89.51	2.81	4.76	8.76	0.95	54.82	27.88	37.99	16.4	68.69	13.87	3.27	7.53	4.5	28.79	12.31	1.17	53.63	15	2.98		4.3	64.21	43.9	72.51	46.4	0.61	0.43	51.64	11.04	0.73	40.41	3.8	0.98	16.7	19.52	12.75	61.48		28.9		19.77	0.84	0.18	4.4		1.14	83.7		69	2.81	0.29	5.55		82.55	8.3	6.5		18.41	17.35	1.75	7.96	20.7	5.74	44.58	38.01	28.97	78.1	19.62	24.66	18.02		38.5	24.5	12	4.47	50.21	14.18	19.46	5.61	27.2	34.95	0.23	59	56.08	54.01	1.65	1.1	7.61	50.37	2.54		9.5	3.7	87.76	75.7	7.83	3.77	17.16	28.62	0.12	2		5.85	30	12.99	18.24	1.32			2.53	4.51	52	68.82	1.3	68.93	29.4	6.39	5.85	15.22	17.25	1.25	4.16	9.79				59.36			25.44				27.33																			
		 Fixed broadband subscriptions (per 100 people)									0		0.49	17.85	0.04		1.85	4.06		13.84	18.69	17.3	0.05	4.94	4.06		14.11	0.12	23.15	2.6	0.02	36.75		0.18	1.03	0.09	2.53		2.39	5.05	0.01		0.02	0	24.67	0.38				6.18	3.83	1.43				1.9	0.06	5.75		6.02	10.83			31.89	0.02	6.08	1.09	0.33	0.35	1.01	0.03		18.71	0	1.03	27.13	20.55	0.12		0.61	17.89	0.06		4.42	5.37	0.3							25.99	11.9	29.18	0.2	0.09	0.14	0	13.29	21.02	14.38	2.53	20.8	0.9	0.2	0.05	0.44	1.24	0.05	0.01	4.99	4.66				28.55	11.38	21.22	19.22	0.01		2.85	2.07	0.03	12.71		0.03	2.29	2.69	0.09	32.01	0.14			1.29		0.01	0.01		0	31.71		11.24	0.34	0			26.66	0.79	0.02	0.48	0.75	3.29		0.1	1.73	0.3	7.62	13.51	4.83	29.69	0.59	4.94	2.02	0.02	17.66	4.28	5.16	0.05	4.91	0.08	0.86	0.25	1.49	2.81		17.08	5.64	13.93	0.14		0.69	15.3	0.11	0.01	0.53		27.38	27.4	0.03		1.36	1.74	0			0.62	1.58	0.43	4.04			2.57	0	1.11	4.94	21.47	0.01	20.02	3.2	0.03	0.04	1.98	0.6	0.01	0.02	0.08				16.19			4.01																							
	2005																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									4.83	47.88	40.23	79.48	9.74		104.16	57.33	10.55	103.38	89.76	105.18	26.18	69.21	87.22	6.29	75.37	42.42	91.4	35.3	7.29	82.2	5.53	25.88	41.09	30.06	46.31		63.32	81.28	4.72	1.97	7.95	12.42	52.76	17.07	166.47	2.52	2.1	64.69	29.84	50.6	2.58	15.76		25.49	13.51	83.16	1.2	75.78	115.1	0	5.08	100.58	5.67	73.71	38.78	45.34	18.99	39.72	16.05	0.83	109.07	0.54	24.92	100.45	78.26	53.4	17.23	26.24	94.55	13.44		92.92	45.51	35.57	1.97	6.95	36.98	5.4		18.58	123.89	92.31	95.4	8	20.9	12.13	5.6	102.69	117.46	121.86	73.88	75.98	59.89	35.83	12.89	0.72	60.19	10.74	11.36	84.02	24.92	12.97	4.89	35.75	79.17	132.45	111.39	113.8	2.79	3.26	75.63	68.43	6.38	78.12	1.27	23.7	54.16	42.56	13.27	50.85	22.05	88.21		41.14	7.16	0.26	22.14		0.9	97.13		85.39	20.52	2.46	13.32		102.81	52.86	8.08	30.4	15.94	51.95	1.23	31.96	20.14	40.52	76.34	108.91	87.29	81.52	28.93	60.39	83.37	2.36	103.79	63.88	64.94	13.34	57.6	7.73	57.37	15.35	67.02	67.52		97.53	84.21	87.95	1.28	5.91	70.4	98.4	16.85	4.76	46.6	18.11	100.82	92.25	16.24	3.89	46.46	54.11	3.32	7.83		29.59	71.25	56.52	64.37	2.21		13.41	4.58	63.67	109.29	108.59	7.63	68.32	34.73	2.76	6.06	46.76	11.29	11.31	8.28	5.09				81.61			53				74.51																			
		 Fixed telephone subscriptions (per 100 people)										8.73	7.57	43.64	0.58		44.18	24.43	19.72	38.25	49.32	45.38	12.78	40.44	22	0.75	49.3	33.98	45.63	12.42	0.93	81.81	5.07	6.91	24.97	7.27	21.41		22.81	32.41	0.68	0.36	0.25	0.55	56.27	14.96	78.15	0.25	0.13	21.03	26.59	17.78	2.82	0.45		32.14	1.49	42.89	7.58	40.68	31.45	4.2	0.02	61.8	1.36	26.93	9.59	12.19	14.48	16	1.66	0.78	33.36	0.8	13.68	40.41	54.86	2.84	3.06	12.74	65.35	1.5		57.16	26.64	9.84	0.26	0.68	14.48	1.57		7.16	55	33.83	65.33	4.45	6.02	28.99	4.07	49.35	44.46	42.69	11.89	45.72	11.99	17.98	0.8	4.64	21.98	8.73	1.57	32.82	15.92	2.49		15.23	57.6	24.37	53.4	37.25	0.5	0.79	16.89	10.85	0.64	48.73		1.3	29.48	17.62	11.72	100.53	6.18	27.76		4.45	0.31	1	6.86		1.92	46.62		41.82	4.05	0.18	0.88		45.6	10.52	3.31	40.07	9.47	13.98	1.05	5.42	8.67	3.92	30.98	40.28	25.01	50.83	24.67	19.82	27.86	0.25	41.31	23.58	20.69	10.84	70.02	4.6	15.57	2.37	30.74	24.58	0.54	41.03	22.2	50.96	1.58	1.18	10.15	44.85	6.24	1.48	16.23	3.99	62.4	69.51	15.98	4.12	10.73	25.53	0.23	1.13		13.62	24.85	12.51	28.02	8.38		9.18	0.3	24.75	29.81	56.51	0.4	58.75	30.25	6.89	3.33	13.66		4.48	0.83	2.58				56.45			27.59				66.53																			
		 Internet users (per 100 people)									1.22	6.04	5.84	37.61	1.14		27	17.72	5.25	25.4	63	58	8.03	25	21.3	0.24	52.5		55.82	17	1.27	65.45	3.85	5.23	21.33	3.26	21.02		36.47	19.97	0.47	0.54	0.32	1.4	71.66	6.07	38.03	0.27	0.4	31.18	8.52	11.01	2	1.46		22.07	1.04	33.14	9.74	32.81	35.27	0	0.24	82.74	0.95	38.54	11.48	5.99	12.75	4.2	1.15		61.45	0.22	8.45	74.48	42.87	4.89	3.8	6.08	68.71	1.83		24	20.49	5.7	0.54	1.9		6.38		6.5	56.9	38.97	87	2.39	3.6	8.1	0.9	41.61	25.19	35	12.8	66.92	12.93	2.96	3.1	4	25.93	10.53	0.85	46	10.14	2.58		3.92	63.37	36.22	70	34.86	0.57	0.38	48.63	6.87	0.51	41.24	3.88	0.67	15.17	17.21	11.88	55.46		27.1		15.08	0.85	0.07	4.01		0.83	81		62.72	2.57	0.22	3.55		81.99	6.68	6.33		16.01	11.48	1.72	7.91	17.1	5.4	38.81	34.99	24.73	73.5	14.63	21.5	15.23	0.56	34	21.57	9.2	3.35	50.26	13.76	12.71	4.79	26.3	25.41	0.22	61	55.19	46.81	0.84	1.08	7.49	47.88	1.79	1.29	6.4	3.7	84.83	70.1	5.65	0.3	15.03	26.45	0.1	1.8		4.91	28.98	9.66	15.46	1			1.74	3.75	40	70	1.1	67.97	20.09	3.34	5.08	12.55	12.74	1.05	2.85	8.02				57.7			23.4				27.34																			
		 Fixed broadband subscriptions (per 100 people)									0	0.01	0.4	12.73			7.03	2.4	0.07	12.27	9.82	14.25	0.03	4.07	2.44		11.68	0.02	19.13	1.85	0	28.82		0.14	0.35	0.09	1.74		2.21	2.15	0		0.01	0	21.72	0.2				4.34	2.83	0.74	0			1.04	0.01	2.65		3.09	6.93			24.8	0.01	4.82	0.65	0.19	0.2	0.7	0.03		13.52	0	0.85	22.38	15.41	0.11	0	0.05	12.87	0.01		1.45	3.13	0.21			0.26				24.06	6.45	26.29	0.12	0.05			7.76	18.62	11.63	1.68	18.35	0.45	0.02	0.02	0.36	1.09	0.05	0.01	2.73	3.26	0			24.8	7.12	15.31	14.53		0	1.87	1.1		12.4		0.01	0.45	1.74	0.04	28.1	0.07	1.24		0.83		0	0.01			25.15		7.76	0.19	0	0		21.44	0.52	0.01	0.5	0.21	0.52		0.09	1.27	0.14	2.47	11.09	3.12	25.92	0.28	1.71	1.1	0.01	13.23	4.23	3.35	0.04	4.1		0.27	0.16	0.41	1.09		14.6	3.37	9.83	0.1		0.34	11.61	0.11	0	0.22		27.93	22.53	0.01		0.85	0.6	0			0.64	0.83	0.17	2.35			1.55	0	0.28	3.12	16.42	0.01	17.16	1.46	0.03	0.03	1.33	0.25	0.01	0	0.08				12.52			3.14				2.75																			
	2004																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									2.5	39.16	14.59	73.82	4.63		66.08	35.27	6.72	99.64	81.51	97.54	17.21	57.69	79.19	1.97	73.52	23.04	87.46	28.3	5.8	76.67	3.02	19.6	36.21	28.19	35.65		56.11	61.07	3.04	1.34	6.55	8.66	47.06	13.89	71.46	1.54	1.27	57.28	25.55	24.46	1.43	11.12		21.74	9.77	64.45	0.67	64.8	105.63	0	3.79	95.71	4.5	59.49	27.52	26.2	10.83	30.29	10.56	0.43	94.28	0.21	17.36	95.4	73.02	36.33	12.57	18.62	85.06	8.14		84.5	42.19	25.62	1.65	2.84	22.68	4.38		10.46	119.1	86.26	98.94	4.7	13.71	7.32	2.15	94.47	111.65	107.69	68.93	72.16	31.89	16.42	7.31	0.69	80.79	5.25	3.58	68.07	22.95	10.26	2.96	9.08	74.03	91.54	104.09	94.31	1.88	1.77	57.6	38.72	3.52	74.08	1.24	17.1	45.32	35.15	11.99	47.23	17.17	78.7		31.27	3.46	0.19	14.28		0.47	91.24		74.21	13.71	1.36	6.73		98.61	32.72	3.24	19.81	12.51	38.14	0.81	30.19	14.93	39.1	60.42	100.89	68.07	78.17	20.56	46.1	51.08	1.48	59.89	61.79	66.32	8.95	58.33	5.13	38.49	10.22	47.18	63.4		91.21	79.34	92.68	0.66	6.06	43.82	90.43	11.2	2.8	43.13	13.24	97.81	85.43	13.27	2.03	41.43	47.25	2.66	6.16		16.35	50.46	37.55	51.92	1.07		5.18	4.2	28.95	100.67	99.51	5.14	62.55	18.04	2.11	5.15	32.07	5.89	7.53	4.16	3.35				68.62			48.98				59.43																			
		 Fixed telephone subscriptions (per 100 people)										8.54	7.43	44.32	0.59		46.5	22.87	19.14	38.49	51.29	46.64	11.97	43.4	23.35	0.59	49.86	32.67	45.98	12.72	0.92	84.26	4.78	6.81	24.48	7.1	21.51		23.03	35.21	0.65	0.37	0.24	0.56	64.43	15.14	80.34	0.26	0.13	20.52	23.79	17.84	2.58	0.4		31.63	1.5	42.9	6.81	41.18	33.58	4.23	0.02	64.67	1.45	29.81	9.8	11.76	13.41	14.67	1.79	0.84	33.34	0.65	12.82	45.29	55.25	2.87	3.09	15.13	65.03	1.5		57.56	31.86	9.15	0.28	0.7	13.57	1.53		5.73	54.57	35.22	64.97	4.16	4.69	23.57	3.88	49.32	44.77	44.55	15.87	47.02	12.53	17.11	0.86	4.83	22.63	8.3	1.32	28.81	16.35	1.95		14.52	58.01	24.6	54.26	37.93	0.33	0.74	17.53	10.77	0.57	49.99	10.58	1.28	29.27	16.52	11.26	101.5	5.85			4.38	0.37	0.85	6.39		1.68	48.46		44.14	3.98	0.19	0.76		47.52	9.85	2.9	39.14	7.78	12.86	1.07	5.24	8	4.08	32.84	40.45	26.5	50.36	22.55	19.8	26.67	0.25	42.03	25.69	17.52	9.17	70.86	4.67	15.5	2.23	26.79	24.8	0.54	42.44	23.21	49.86	1.52	1.21	10.31	41.99	5.02	2.74	16.56	4.07	63.33	71.53	15.04	4.1	10.47	25.75	0.22	1.22		12.96	24.98	12.1	28.61	8.26		7.78	0.26	25.59	32.46	57.64	0.39	60.13	29.99	6.79	3.31	12.74	12.03	4.07	0.82	2.5				44.18			29.47				65.62																			
